report,label,authority
وجود غرق وتم طلب التدخل في حي الياسمين,غرق,حرس الحدود
بلاغ وارد يتضمن تهريب في حي الصحافة,تهريب,الجمارك
تم الإبلاغ عن مخالفات تجارية في حي النخيل,مخالفات تجارية,وزارة التجارة
وجود مواد منتهية وتم طلب التدخل في حي السلام,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
اشتباه بحدوث حيوان ضال في حي النرجس,حيوان ضال,البلدية
تم رصد انفجار في منطقة الحديقة,انفجار,الدفاع المدني
بلاغ وارد يتضمن تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
بلاغ عاجل عن حيوان ضال الآن في حي النخيل,حيوان ضال,البلدية
تم رصد تعطل طريق سريع في منطقة السوق,تعطل طريق سريع,المرور
تم رصد سطو مسلح في منطقة المدرسة,سطو مسلح,الشرطة
وجود تسرب غاز وتم طلب التدخل في حي الرياض,تسرب غاز,الدفاع المدني
تم الإبلاغ عن دهس في حي النرجس,دهس,المرور
بلاغ عن تهريب في حي السلام بالقرب من الحديقة,تهريب,الجمارك
بلاغ عاجل عن بلاغ إرهابي الآن في حي الرياض,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن بلاغ إرهابي في حي الجامعة,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن تهديد أمني في حي الرياض,تهديد أمني,أمن الدولة
تم الإبلاغ عن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
اشتباه بحدوث سطو مسلح في حي النخيل,سطو مسلح,الشرطة
شوهد حيوان ضال عند المنطقة الصناعية في حي الرياض,حيوان ضال,البلدية
تمت ملاحظة حالة تعطل طريق سريع ويجب التحرك في حي الرياض,تعطل طريق سريع,المرور
وجود تهريب وتم طلب التدخل في حي الصحافة,تهريب,الجمارك
تم رصد تهديد أمني في منطقة السوق,تهديد أمني,أمن الدولة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الورد,حيوان ضال,البلدية
بلاغ وارد يتضمن تهريب في حي الخليج,تهريب,الجمارك
بلاغ وارد يتضمن تهريب في حي النرجس,تهريب,الجمارك
وجود فقدان طفل وتم طلب التدخل في حي السلام,فقدان طفل,الشرطة
بلاغ وارد يتضمن غذاء فاسد في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
شوهد ماس كهربائي عند المستشفى في حي الخليج,ماس كهربائي,الدفاع المدني
تم الإبلاغ عن حيوان ضال في حي الياسمين,حيوان ضال,البلدية
تم رصد حيوان ضال في منطقة السوق,حيوان ضال,البلدية
شوهد حيوان ضال عند المنطقة الصناعية في حي الرياض,حيوان ضال,البلدية
وجود إزعاج سكني وتم طلب التدخل في حي الورد,إزعاج سكني,الشرطة
وجود بلاغ إرهابي وتم طلب التدخل في حي الصحافة,بلاغ إرهابي,أمن الدولة
بلاغ عاجل عن انقلاب مركبة الآن في حي السلام,انقلاب مركبة,المرور
وجود حادث مروري وتم طلب التدخل في حي الياسمين,حادث مروري,المرور
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي النرجس,حيوان ضال,البلدية
بلاغ وارد يتضمن غذاء فاسد في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن مواد منتهية في حي الخليج,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن تهريب في حي الياسمين,تهريب,الجمارك
بلاغ عاجل عن حادثة بحرية الآن في حي الجامعة,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن ماس كهربائي في حي الصحافة,ماس كهربائي,الدفاع المدني
بلاغ عاجل عن سطو مسلح الآن في حي الياسمين,سطو مسلح,الشرطة
مواطن يبلغ عن دهس في حي النرجس,دهس,المرور
تمت ملاحظة حالة مشاجرة ويجب التحرك في حي النرجس,مشاجرة,الشرطة
تمت ملاحظة حالة مواد منتهية ويجب التحرك في حي الجامعة,مواد منتهية,وزارة التجارة
تم رصد تسرب غاز في منطقة الحديقة,تسرب غاز,الدفاع المدني
وجود سرقة وتم طلب التدخل في حي الصحافة,سرقة,الشرطة
بلاغ عاجل عن احتجاز في مصعد الآن في حي السلام,احتجاز في مصعد,الدفاع المدني
مواطن يبلغ عن غرق في حي النخيل,غرق,حرس الحدود
بلاغ عاجل عن احتجاز في مصعد الآن في حي الرياض,احتجاز في مصعد,الدفاع المدني
وجود تهديد أمني وتم طلب التدخل في حي الياسمين,تهديد أمني,أمن الدولة
تم رصد غرق في منطقة السوق,غرق,حرس الحدود
تم الإبلاغ عن حيوان ضال في حي السلام,حيوان ضال,البلدية
تم رصد انفجار في منطقة الحديقة,انفجار,الدفاع المدني
بلاغ عاجل عن مخالفات تجارية الآن في حي الياسمين,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن سطو مسلح الآن في حي النخيل,سطو مسلح,الشرطة
بلاغ عن حيوان ضال في حي النرجس بالقرب من المدرسة,حيوان ضال,البلدية
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن حيوان ضال في حي السلام,حيوان ضال,البلدية
شوهد سرقة عند المسجد في حي الصحافة,سرقة,الشرطة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الصحافة,حيوان ضال,البلدية
اشتباه بحدوث تهديد أمني في حي الرياض,تهديد أمني,أمن الدولة
بلاغ عن سرقة في حي الفلاح بالقرب من المدرسة,سرقة,الشرطة
تم الإبلاغ عن احتجاز في مصعد في حي الورد,احتجاز في مصعد,الدفاع المدني
تم الإبلاغ عن حادثة بحرية في حي النرجس,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن حيوان ضال في حي الجامعة,حيوان ضال,البلدية
تم الإبلاغ عن غذاء فاسد في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
شوهد مواد منتهية عند المركز التجاري في حي الخليج,مواد منتهية,وزارة التجارة
تم رصد ماس كهربائي في منطقة السوق,ماس كهربائي,الدفاع المدني
اشتباه بحدوث حريق في حي السلام,حريق,الدفاع المدني
اشتباه بحدوث إزعاج سكني في حي النخيل,إزعاج سكني,الشرطة
تم رصد مواد منتهية في منطقة السوق,مواد منتهية,وزارة التجارة
وجود تلوث مياه وتم طلب التدخل في حي الجامعة,تلوث مياه,وزارة البيئة
تم رصد تلوث مياه في منطقة المجمع التجاري,تلوث مياه,وزارة البيئة
اشتباه بحدوث ماس كهربائي في حي الورد,ماس كهربائي,الدفاع المدني
بلاغ عاجل عن تعطل طريق سريع الآن في حي النرجس,تعطل طريق سريع,المرور
اشتباه بحدوث انقلاب مركبة في حي الخليج,انقلاب مركبة,المرور
تمت ملاحظة حالة غرق ويجب التحرك في حي الياسمين,غرق,حرس الحدود
تم رصد اقتحام منزل في منطقة المنطقة السكنية,اقتحام منزل,الشرطة
بلاغ عاجل عن حادثة بحرية الآن في حي الفلاح,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن بلاغ إرهابي في حي الصحافة,بلاغ إرهابي,أمن الدولة
بلاغ عن بلاغ إرهابي في حي الياسمين بالقرب من المنطقة السكنية,بلاغ إرهابي,أمن الدولة
وجود تهريب وتم طلب التدخل في حي الرياض,تهريب,الجمارك
تمت ملاحظة حالة مشاجرة ويجب التحرك في حي الصحافة,مشاجرة,الشرطة
اشتباه بحدوث حيوان ضال في حي النرجس,حيوان ضال,البلدية
مواطن يبلغ عن تلوث مياه في حي الرياض,تلوث مياه,وزارة البيئة
بلاغ عن حيوان ضال في حي الرياض بالقرب من الطريق السريع,حيوان ضال,البلدية
وجود حادثة بحرية وتم طلب التدخل في حي الرياض,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن تهريب في حي الصحافة,تهريب,الجمارك
تم الإبلاغ عن تهديد أمني في حي الجامعة,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن حادثة بحرية في حي الورد,حادثة بحرية,حرس الحدود
بلاغ عن تهريب في حي النرجس بالقرب من المدرسة,تهريب,الجمارك
تم الإبلاغ عن مواد منتهية في حي الياسمين,مواد منتهية,وزارة التجارة
بلاغ عن تهديد أمني في حي النخيل بالقرب من المسجد,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن غذاء فاسد في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث حيوان ضال في حي السلام,حيوان ضال,البلدية
بلاغ وارد يتضمن تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
مواطن يبلغ عن تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
بلاغ عن تهريب في حي الورد بالقرب من المدرسة,تهريب,الجمارك
تم رصد تلوث مياه في منطقة المركز التجاري,تلوث مياه,وزارة البيئة
شوهد تهديد أمني عند المركز التجاري في حي الورد,تهديد أمني,أمن الدولة
تمت ملاحظة حالة مشاجرة ويجب التحرك في حي السلام,مشاجرة,الشرطة
تم رصد تلوث مياه في منطقة المنطقة الصناعية,تلوث مياه,وزارة البيئة
بلاغ عاجل عن حريق الآن في حي السلام,حريق,الدفاع المدني
بلاغ عن تلوث مياه في حي النخيل بالقرب من المنطقة الصناعية,تلوث مياه,وزارة البيئة
شوهد اقتحام منزل عند الطريق السريع في حي الرياض,اقتحام منزل,الشرطة
مواطن يبلغ عن بلاغ إرهابي في حي النخيل,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن مواد منتهية في حي النرجس,مواد منتهية,وزارة التجارة
بلاغ عاجل عن حادثة بحرية الآن في حي الخليج,حادثة بحرية,حرس الحدود
بلاغ عن غرق في حي الصحافة بالقرب من المستشفى,غرق,حرس الحدود
تم الإبلاغ عن حيوان ضال في حي النرجس,حيوان ضال,البلدية
تمت ملاحظة حالة انقلاب مركبة ويجب التحرك في حي الياسمين,انقلاب مركبة,المرور
بلاغ عاجل عن تلوث مياه الآن في حي النخيل,تلوث مياه,وزارة البيئة
شوهد حريق عند الطريق السريع في حي النرجس,حريق,الدفاع المدني
تم رصد غذاء فاسد في منطقة الطريق السريع,غذاء فاسد,هيئة الغذاء والدواء
وجود غرق وتم طلب التدخل في حي السلام,غرق,حرس الحدود
بلاغ وارد يتضمن حيوان ضال في حي الجامعة,حيوان ضال,البلدية
بلاغ وارد يتضمن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
شوهد غذاء فاسد عند المجمع التجاري في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن بلاغ إرهابي في حي الخليج,بلاغ إرهابي,أمن الدولة
بلاغ عاجل عن مخالفات تجارية الآن في حي الورد,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن تهديد أمني في حي الرياض,تهديد أمني,أمن الدولة
